task,model,task_type,status,fit_time_s,predict_time_s,tcga_accuracy,tcga_f1,tcga_roc_auc,tcga_log_loss,cptac_accuracy,cptac_f1,cptac_roc_auc,cptac_log_loss
lscc_tp53_protein_biological,lightgbm,binary,success,0.27638063299673377,0.03017049799746019,0.871244635193133,0.9297423887587822,0.6592224979321754,0.6336526113551046,0.9393939393939394,0.96875,0.48745519713261654,0.3959384725672735
lscc_tp53_protein_biological,catboost,binary,success,4.695288001003064,0.06066670699874521,0.869098712446352,0.9296424452133795,0.6542991059120091,0.3748555772198921,0.9393939393939394,0.96875,0.6236559139784946,0.2283518587997537
lscc_tp53_protein_biological,autogluon,binary,success,39.636092122000264,0.11960867000743747,0.871244635193133,0.9303944315545244,0.6528811690102012,0.39606109785365606,0.9393939393939394,0.96875,0.4444444444444445,0.24011757540121392
lscc_tp53_protein_biological,tabpfn_v3,binary,success,2.1825799030011694,14.570594325999991,0.8798283261802575,0.9347319347319347,0.6880144944661074,0.35978974651392603,0.9393939393939394,0.96875,0.471326164874552,0.23310911791645586
lscc_tp53_protein_top500,logistic_regression,binary,success,0.14746812300290912,0.04182891200616723,0.8218884120171673,0.9001203369434416,0.5279845602426247,1.155107551936967,0.9393939393939394,0.96875,0.43727598566308246,0.4099393627026108
lscc_tp53_protein_top500,random_forest,binary,success,1.8692845920049876,0.09422122799878707,0.871244635193133,0.9303944315545244,0.6848044428689591,0.37239613698060775,0.9393939393939394,0.96875,0.456989247311828,0.35193603462168244
lscc_tp53_protein_top500,xgboost,binary,success,2.308000771994557,0.21530291099770693,0.8669527896995708,0.927570093457944,0.6347236992398283,0.5537019763138684,0.9393939393939394,0.96875,0.30197132616487454,0.2843500617920275
lscc_tp53_protein_top500,lightgbm,binary,success,0.5544020590023138,0.030182821996277198,0.8669527896995708,0.9277389277389277,0.6709598645082517,0.6516862094809472,0.9393939393939394,0.96875,0.2383512544802867,0.25033796115215673
lscc_tp53_protein_top500,catboost,binary,success,13.399725639999815,0.32580883800255833,0.871244635193133,0.930715935334873,0.6334633108826657,0.37512058529074155,0.9393939393939394,0.96875,0.4829749103942652,0.23143066206809002
lscc_tp53_protein_top500,autogluon,binary,success,52.76905682599681,0.08665750700311037,0.8733905579399142,0.9316338354577057,0.6287171609752255,0.4847420327285785,0.9393939393939394,0.96875,0.3602150537634409,0.23587856432340515
lscc_tp53_protein_top500,tabpfn_v3,binary,success,3.0101517690018227,18.006006483006786,0.869098712446352,0.9296424452133795,0.6743865453542873,0.37022586726125567,0.9393939393939394,0.96875,0.2724014336917563,0.23066781292574035
lscc_tp53_top500,logistic_regression,binary,success,0.13054362399998354,0.04927221300386009,0.8304721030042919,0.9058402860548271,0.5887589113395566,1.0328128168429602,0.9361702127659575,0.967032967032967,0.5018939393939394,0.40090198503008895
lscc_tp53_top500,random_forest,binary,success,1.8943131000050926,0.10302474799755146,0.869098712446352,0.9289871944121071,0.673815431879948,0.3740699556878422,0.9361702127659575,0.967032967032967,0.40530303030303033,0.2877081496479669
lscc_tp53_top500,xgboost,binary,success,2.4581751779987826,0.22202122100861743,0.8605150214592274,0.9239766081871345,0.6448855803694513,0.5399727393263424,0.9361702127659575,0.967032967032967,0.4431818181818181,0.3508786998038889
lscc_tp53_top500,lightgbm,binary,success,0.5902905450020626,0.03346394800610142,0.8583690987124464,0.9232558139534883,0.6671393123006026,0.6385961957528142,0.9361702127659575,0.967032967032967,0.4128787878787879,0.3407219364931143
